route_id_x,service_id,trip_id,trip_headsign,direction_id_x,shape_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,category_x,status_x,route_id_y,direction_id_y,arrival_time,departure_time,stop_id,stop_sequence,stop_name,stop_lat,stop_lon,category_y,route_id,geometry,isOKU,status_y,search,start_time,end_time,headway_secs
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,7:00:11,7:00:29,SP31,29,PUTRA HEIGHTS,2.996016,101.575521,LRT,PH,[object Object],True,valid,LRT PUTRA HEIGHTS,19:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:00:00,6:00:18,SP1,1,SENTUL TIMUR,3.185897,101.695217,LRT,PH,[object Object],True,valid,LRT SENTUL TIMUR,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:01:37,6:01:55,SP2,2,SENTUL,3.178484,101.695542,LRT,PH,[object Object],True,valid,LRT SENTUL,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:02:57,6:03:15,SP3,3,TITIWANGSA,3.173497,101.695367,LRT,PH,[object Object],True,valid,LRT TITIWANGSA,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:04:40,6:04:58,SP4,4,PWTC,3.166333,101.693586,LRT,PH,[object Object],True,valid,LRT PWTC,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:06:08,6:06:26,SP5,5,SULTAN ISMAIL,3.161245,101.694109,LRT,PH,[object Object],True,valid,LRT SULTAN ISMAIL,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:07:35,6:07:53,SP6,6,BANDARAYA,3.155567,101.694485,LRT,PH,[object Object],True,valid,LRT BANDARAYA,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:09:28,6:09:46,SP7,7,MASJID JAMEK,3.14927,101.696377,LRT,PH,[object Object],True,valid,LRT MASJID JAMEK,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:11:18,6:11:36,SP8,8,PLAZA RAKYAT,3.144049,101.702105,LRT,PH,[object Object],True,valid,LRT PLAZA RAKYAT,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:12:42,6:13:00,SP9,9,HANG TUAH,3.140012,101.705984,LRT,PH,[object Object],True,valid,LRT HANG TUAH,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:14:13,6:14:31,SP10,10,PUDU,3.134879,101.711957,LRT,PH,[object Object],True,valid,LRT PUDU,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:15:58,6:16:16,SP11,11,CHAN SOW LIN,3.128105,101.715637,LRT,PH,[object Object],True,valid,LRT CHAN SOW LIN,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:18:24,6:18:42,SP12,12,CHERAS,3.112609,101.714178,LRT,PH,[object Object],True,valid,LRT CHERAS,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:20:33,6:20:51,SP13,13,SALAK SELATAN,3.102201,101.706179,LRT,PH,[object Object],True,valid,LRT SALAK SELATAN,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:22:57,6:23:15,SP14,14,BANDAR TUN RAZAK,3.089576,101.712466,LRT,PH,[object Object],True,valid,LRT BANDAR TUN RAZAK,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:25:28,6:25:46,SP15,15,BANDAR TASIK SELATAN,3.076058,101.711107,LRT,PH,[object Object],True,valid,LRT BANDAR TASIK SELATAN,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:27:33,6:27:51,SP16,16,SUNGAI BESI,3.063842,101.708062,LRT,PH,[object Object],True,valid,LRT SUNGAI BESI,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:30:24,6:30:42,SP17,17,BUKIT JALIL,3.058196,101.692125,LRT,PH,[object Object],True,valid,LRT BUKIT JALIL,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:32:33,6:32:51,SP18,18,SRI PETALING,3.061445,101.687074,LRT,PH,[object Object],True,valid,LRT SRI PETALING,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:34:21,6:34:39,SP19,19,AWAN BESAR,3.062131,101.670555,LRT,PH,[object Object],True,valid,LRT AWAN BESAR,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:36:30,6:36:48,SP20,20,MUHIBBAH,3.062229,101.662552,LRT,PH,[object Object],True,valid,LRT MUHIBBAH,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:38:42,6:39:00,SP21,21,ALAM SUTERA,3.0547,101.656468,LRT,PH,[object Object],True,valid,LRT ALAM SUTERA,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:42:27,6:42:45,SP22,22,KINRARA,3.050506,101.644294,LRT,PH,[object Object],True,valid,LRT KINRARA,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:46:13,6:46:31,SP24,23,IOI PUCHONG JAYA,3.048101,101.62095,LRT,PH,[object Object],True,valid,LRT IOI PUCHONG JAYA,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:47:41,6:47:59,SP25,24,PUSAT BANDAR PUCHONG,3.033194,101.616057,LRT,PH,[object Object],True,valid,LRT PUSAT BANDAR PUCHONG,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:49:41,6:49:59,SP26,25,TAMAN PERINDUSTRIAN PUCHONG,3.022814,101.613514,LRT,PH,[object Object],True,valid,LRT TAMAN PERINDUSTRIAN PUCHONG,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:51:25,6:51:43,SP27,26,BANDAR PUTERI,3.017111,101.612855,LRT,PH,[object Object],True,valid,LRT BANDAR PUTERI,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:53:34,6:53:52,SP28,27,PUCHONG PERDANA,3.007913,101.605021,LRT,PH,[object Object],True,valid,LRT PUCHONG PERDANA,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:56:19,6:56:37,SP29,28,PUCHONG PRIMA,2.999808,101.596692,LRT,PH,[object Object],True,valid,LRT PUCHONG PRIMA,6:00:00,24:00:00,300
PH,Sat,SPL_Sat_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,7:00:11,7:00:29,SP31,29,PUTRA HEIGHTS,2.996016,101.575521,LRT,PH,[object Object],True,valid,LRT PUTRA HEIGHTS,6:00:00,24:00:00,300
