route_id_x,direction_id_x,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_name,stop_lat,stop_lon,category_x,route_id_y,geometry,isOKU,status_x,search,route_id,service_id,trip_headsign,direction_id_y,shape_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,category_y,status_y
AGL,0,AGL_Sat_0,6:04:43,6:05:01,AG15,4,PANDAN INDAH,3.134581,101.746509,LRT,AG,[object Object],True,valid,LRT PANDAN INDAH,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:06:21,6:06:39,AG14,5,PANDAN JAYA,3.130141,101.739122,LRT,AG,[object Object],True,valid,LRT PANDAN JAYA,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:08:28,6:08:46,AG13,6,MALURI,3.12329,101.727283,LRT,AG,[object Object],True,valid,LRT MALURI,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:10:09,6:10:27,AG12,7,MIHARJA,3.120973,101.717922,LRT,AG,[object Object],True,valid,LRT MIHARJA,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:11:49,6:12:07,AG11,8,CHAN SOW LIN,3.128105,101.715637,LRT,AG,[object Object],True,valid,LRT CHAN SOW LIN,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:13:34,6:13:52,AG10,9,PUDU,3.134879,101.711957,LRT,AG,[object Object],True,valid,LRT PUDU,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:15:05,6:15:23,AG9,10,HANG TUAH,3.140012,101.705984,LRT,AG,[object Object],True,valid,LRT HANG TUAH,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:16:29,6:16:47,AG8,11,PLAZA RAKYAT,3.144049,101.702105,LRT,AG,[object Object],True,valid,LRT PLAZA RAKYAT,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:18:19,6:18:37,AG7,12,MASJID JAMEK,3.14927,101.696377,LRT,AG,[object Object],True,valid,LRT MASJID JAMEK,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:20:12,6:20:30,AG6,13,BANDARAYA,3.155567,101.694485,LRT,AG,[object Object],True,valid,LRT BANDARAYA,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
